0_0, 0_1, 0_2, 1_0, 1_1, 1_2, 2_0, 2_1, 2_2, has_horizontal, has_vertical
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.373, 0.373, 0.373, 0, 0, 0, 1, 1, 1, 1, 0
0.863, 0.863, 0.863, 0.1, 0.1, 0.1, 0, 0, 0, 1, 0
0.489, 0.489, 0.489, 0.323, 0.323, 0.323, 0, 0, 0, 1, 0
0.229, 0, 0.606, 0.68, 0.452, 1, 0.229, 0, 0.606, 1, 1
0.573, 0.2, 0.1, 0.473, 0.1, 0, 0.473, 0.1, 0, 1, 1
0, 0, 0, 0.997, 0.997, 0.997, 0.515, 0.515, 0.515, 1, 0
0.801, 0.801, 0.801, 0.363, 0.363, 0.363, 0, 0, 0, 1, 0
0.796, 0.796, 0.796, 0.286, 0.286, 0.286, 0, 0, 0, 1, 0
0.1, 0.574, 1, 0.208, 0.682, 1, 0, 0.474, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.997, 0, 0.557, 0.997, 0, 0.557, 0.997, 0, 0.557, 0, 1
0.899, 0.899, 0.899, 0.417, 0.417, 0.417, 0, 0, 0, 1, 0
0, 0.598, 0, 0.715, 1, 0.715, 0.636, 1, 0.636, 1, 1
0, 0.805, 0, 0.543, 1, 0.543, 0.601, 1, 0.601, 1, 1
0.287, 0, 0.652, 1, 1, 1, 0.941, 0.653, 1, 1, 1
0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0
0, 0, 0, 0.161, 0.161, 0.161, 0, 0, 0, 1, 0
0.411, 0.411, 0.411, 0, 0, 0, 0, 0, 0, 1, 0
1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1
0, 0, 0, 0.44, 0.44, 0.44, 0.503, 0.503, 0.503, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.129, 1, 0, 0.129, 1, 0, 0.129, 1, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0.497, 0.497, 0.497, 0, 0, 0, 1, 0
0, 0, 0, 1, 1, 1, 0.328, 0.328, 0.328, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.388, 0.926, 0, 1, 1, 0.913, 1, 1, 0.625, 1, 1
0, 0.335, 0.83, 0.435, 0.77, 1, 0.618, 0.953, 1, 1, 1
0, 0, 0, 0.769, 0.769, 0.769, 0, 0, 0, 1, 0
0.1, 0, 0.453, 0.397, 0.297, 0.75, 0.1, 0, 0.453, 1, 1
0.377, 0.377, 0.377, 0, 0, 0, 0, 0, 0, 1, 0
1, 1, 1, 0, 0, 0, 0.367, 0.367, 0.367, 1, 0
0.1, 0.715, 0.327, 0.324, 0.939, 0.551, 0, 0.615, 0.227, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2, 0.337, 0.1, 0.1, 0.237, 0, 0.543, 0.68, 0.443, 1, 1
0, 0, 0.316, 0, 0, 0.316, 0, 0, 0.316, 0, 1
0, 0.826, 0.155, 0, 0.826, 0.155, 0, 0.826, 0.155, 0, 1
0.361, 0.82, 0, 0.361, 0.82, 0, 0.361, 0.82, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.743, 0, 0, 0.743, 0, 0, 0.743, 0, 0, 0, 1
0, 0.712, 0, 0, 0.712, 0, 0, 0.712, 0, 0, 1
1, 0.473, 0.473, 0.618, 0, 0, 0.848, 0.229, 0.229, 1, 1
0, 0, 0, 0.474, 0.474, 0.474, 0, 0, 0, 1, 0
0.326, 0.326, 0.326, 0, 0, 0, 0, 0, 0, 1, 0
1, 0.524, 0, 1, 0.524, 0, 1, 0.524, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.649, 1, 0.649, 0, 0.638, 0, 0.579, 1, 0.579, 1, 1
0.978, 0.507, 0.625, 1, 0.607, 0.726, 0.471, 0, 0.118, 1, 1
0.401, 0.401, 0.401, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.79, 1, 0.391, 0.399, 0.686, 0, 0.399, 0.686, 0, 1, 1
0, 0, 0, 0.372, 0.372, 0.372, 0.283, 0.283, 0.283, 1, 0
0.248, 0.248, 0.248, 0, 0, 0, 0, 0, 0, 1, 0
0.582, 0.731, 0, 1, 1, 0.812, 1, 1, 0.959, 1, 1
0.334, 0.334, 0.334, 0, 0, 0, 0.802, 0.802, 0.802, 1, 0
1, 1, 1, 0.895, 0, 0.804, 0.895, 0, 0.804, 1, 1
0, 0.14, 0, 0, 0.14, 0, 0, 0.14, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.336, 0.382, 0, 0.336, 0.382, 0, 0.336, 0.382, 0, 0, 1
0, 0.27, 0.723, 0, 0.27, 0.723, 0, 0.27, 0.723, 0, 1
0, 0, 0, 0.651, 0.651, 0.651, 0.359, 0.359, 0.359, 1, 0
0.665, 0.665, 0.665, 0.931, 0.931, 0.931, 0, 0, 0, 1, 0
0.1, 0.1, 0.1, 0.332, 0.332, 0.332, 0, 0, 0, 1, 0
0.1, 0.1, 0.1, 0.262, 0.262, 0.262, 0, 0, 0, 1, 0
0, 0.52, 0, 0, 0.52, 0, 0.272, 0.792, 0.272, 1, 1
0.653, 0.653, 0.653, 0, 0, 0, 0.727, 0.727, 0.727, 1, 0
0.443, 0.223, 0, 0.443, 0.223, 0, 0.443, 0.223, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.288, 0.288, 0.288, 0, 0, 0, 0.683, 0.683, 0.683, 1, 0
0, 0, 0, 0.311, 0.311, 0.311, 0.533, 0.533, 0.533, 1, 0
0.408, 0, 0, 0.921, 0.513, 0.513, 0.508, 0.1, 0.1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0.443, 1, 0.784, 0, 0.731, 1, 1, 1, 1, 1
0.178, 0.697, 0, 0.178, 0.697, 0, 0.413, 0.933, 0.235, 1, 1
0.551, 0.87, 0, 0.551, 0.87, 0, 0.551, 0.87, 0, 0, 1
0.494, 0, 0.589, 0.494, 0, 0.589, 0.494, 0, 0.589, 0, 1
0, 0.293, 0, 0, 0.293, 0, 0, 0.293, 0, 0, 1
0, 0, 0, 0, 0, 0, 0.301, 0.301, 0.301, 1, 0
0.362, 0, 0.637, 0.362, 0, 0.637, 0.362, 0, 0.637, 0, 1
0, 0, 0, 0, 0, 0, 0.557, 0.557, 0.557, 1, 0
0, 0, 0, 0.782, 0.782, 0.782, 0.376, 0.376, 0.376, 1, 0
1, 0, 0, 1, 0, 0, 1, 0.945, 0.945, 1, 1
0, 0, 0, 0, 0, 0, 0.182, 0.182, 0.182, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1
0, 0.522, 0, 0, 0.522, 0, 0.904, 1, 0.904, 1, 1
0, 0.1, 0, 0, 0.1, 0, 0, 0.1, 0, 0, 1
0.473, 0.473, 0.473, 0, 0, 0, 0, 0, 0, 1, 0
0.444, 0.985, 0.911, 0, 0.541, 0.467, 0.413, 0.955, 0.881, 1, 1
0.89, 0.638, 0.824, 0.252, 0, 0.186, 0.252, 0, 0.186, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.414, 0, 0, 0.414, 0, 0, 0.414, 0, 0, 1
0, 0.371, 0, 0, 0.371, 0, 0, 0.371, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.167, 0.644, 0, 0.167, 0.644, 0, 0.167, 0.644, 0, 1
0, 0, 0.508, 0, 0, 0.508, 0.701, 0.701, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0.934, 0.934, 0.934, 0.49, 0.49, 0.49, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0.861, 0.861, 1, 0.45, 0.45, 0.618, 0, 0, 1, 1
0.928, 0.928, 0.928, 0.967, 0.967, 0.967, 0, 0, 0, 1, 0
0, 0.601, 0.398, 0, 0.601, 0.398, 0.262, 0.863, 0.66, 1, 1
0.876, 0.876, 0.876, 0, 0, 0, 0.712, 0.712, 0.712, 1, 0
0, 0, 0, 0.823, 0.823, 0.823, 0, 0, 0, 1, 0
0, 0.311, 0, 0, 0.311, 0, 0, 0.311, 0, 0, 1
0, 0.624, 0, 0, 0.624, 0, 0, 0.624, 0, 0, 1
0, 0, 0.745, 0.713, 0.713, 1, 0, 0, 0.745, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.186, 0, 0.29, 0.186, 0, 0.29, 0.186, 0, 0.29, 0, 1
0, 0.769, 0.653, 0, 0.769, 0.653, 0, 0.769, 0.653, 0, 1
0, 0, 0.1, 0, 0, 0.1, 0, 0, 0.1, 0, 1
0, 0, 0, 0.785, 0.785, 0.785, 1, 1, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0.405, 0.405, 0.405, 0, 0, 0, 1, 0
0.1, 0.556, 0, 0.1, 0.556, 0, 0.1, 0.556, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0.1, 0.1, 0, 0, 0, 0.667, 0.667, 0.667, 1, 0
1, 1, 0.745, 0.932, 0.775, 0.233, 0.699, 0.542, 0, 1, 1
0.122, 0.122, 0.122, 0, 0, 0, 0.415, 0.415, 0.415, 1, 0
0.204, 0.113, 0, 0.204, 0.113, 0, 0.62, 0.529, 0.416, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.12, 0, 0.455, 0.12, 0, 0.455, 0.12, 0, 0.455, 0, 1
0.309, 0, 0.605, 0.309, 0, 0.605, 0.309, 0, 0.605, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.634, 0.193, 0, 0.634, 0.193, 0, 0.634, 0.193, 0, 0, 1
0, 0.799, 0.667, 0, 0.799, 0.667, 0, 0.799, 0.667, 0, 1
0, 0, 0.219, 0.612, 0.612, 0.831, 0, 0, 0.219, 1, 1
0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 1, 0
0.294, 0.739, 1, 0, 0.445, 0.963, 0, 0.445, 0.963, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0.832, 0.732, 0.732, 0.1, 0, 0, 1, 1
0, 0, 0, 0, 0, 0, 0.377, 0.377, 0.377, 1, 0
0.438, 0, 0, 0.852, 0.414, 0.414, 1, 1, 1, 1, 1
0.201, 0, 0, 0.201, 0, 0, 0.301, 0.1, 0.1, 1, 1
0, 0.509, 0, 0, 0.509, 0, 0, 0.509, 0, 0, 1
0, 0.732, 0, 0, 0.732, 0, 0.121, 0.853, 0.121, 1, 1
0.136, 0, 0.509, 0.136, 0, 0.509, 0.136, 0, 0.509, 0, 1
1, 0, 0.1, 1, 0, 0.1, 1, 0, 0.1, 0, 1
0, 0.1, 0.986, 0, 0.1, 0.986, 0, 0.1, 0.986, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.527, 0.527, 0.527, 0, 0, 0, 0.528, 0.528, 0.528, 1, 0
1, 1, 1, 0, 0, 0, 0.785, 0.785, 0.785, 1, 0
0, 0.408, 0, 0, 0.408, 0, 0, 0.408, 0, 0, 1
0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1
0, 0, 0.323, 0, 0, 0.323, 0, 0, 0.323, 0, 1
0.637, 0, 0, 0.926, 0.289, 0.289, 1, 0.757, 0.757, 1, 1
1, 1, 1, 0.643, 1, 0.643, 0, 0.698, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.704, 0, 0.438, 0.914, 0.209, 0.647, 0.704, 0, 0.438, 1, 1
0.1, 0.1, 0.928, 0.419, 0.419, 1, 0, 0, 0.828, 1, 1
0, 0.26, 0.627, 0.35, 0.609, 0.977, 0.636, 0.895, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.657, 0.277, 0, 0.657, 0.277, 0, 0.657, 0.277, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.705, 0, 0.546, 0.705, 0, 0.546, 0.705, 0, 0.546, 0, 1
0, 0.1, 0.522, 0, 0.1, 0.522, 0, 0.1, 0.522, 0, 1
0.388, 0, 0, 0.388, 0, 0, 0.388, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0.415, 0.352, 0.352, 0.767, 0.19, 0.19, 0.605, 1, 1
0, 0, 0.806, 0, 0, 0.806, 0, 0, 0.806, 0, 1
0.79, 0.79, 0.79, 0.1, 0.1, 0.1, 0, 0, 0, 1, 0
0.402, 0.402, 0.84, 0.426, 0.426, 0.864, 0, 0, 0.438, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0.338, 1, 0, 0.338, 1, 0, 0.338, 0, 1
0, 0, 0, 0.639, 0.639, 0.639, 0, 0, 0, 1, 0
0, 0, 0.409, 0, 0, 0.409, 0, 0, 0.409, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.298, 0, 0, 0.298, 0, 0, 1, 0.739, 0.739, 1, 1
0.451, 0, 0.209, 1, 0.59, 0.798, 0.451, 0, 0.209, 1, 1
0.81, 0.528, 0.528, 0.282, 0, 0, 0.282, 0, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0.34, 0.34, 0.34, 1, 0
0, 0.468, 0.663, 0, 0.468, 0.663, 0, 0.468, 0.663, 0, 1
0, 0.534, 0, 0, 0.534, 0, 0, 0.534, 0, 0, 1
0.128, 0, 0, 0.128, 0, 0, 0.128, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0.882, 0, 0, 0.882, 0.442, 0.442, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.233, 0.99, 0, 0.233, 0.99, 0, 0.233, 0.99, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.267, 0.235, 0.753, 1, 0.988, 0, 0.267, 0.235, 1, 1
0, 0.993, 0, 0, 0.993, 0, 0, 0.993, 0, 0, 1
0, 0, 0, 0.1, 0.1, 0.1, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0.126, 0.2, 0.1, 0.226, 0.438, 0.338, 0.464, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.1, 0.124, 0, 0.1, 0.124, 1, 1, 1, 1, 1
0, 0, 0, 0.765, 0.765, 0.765, 0, 0, 0, 1, 0
0.635, 0.635, 1, 0, 0, 0.419, 0.386, 0.386, 0.805, 1, 1
0.349, 0.349, 0.85, 0, 0, 0.501, 0, 0, 0.501, 1, 1
0, 0, 0, 0.534, 0.534, 0.534, 0, 0, 0, 1, 0
0.603, 0, 1, 0.603, 0, 1, 0.603, 0, 1, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.709, 0.709, 0.709, 1, 1, 1, 0, 0, 0, 1, 0
0, 0, 0, 0.576, 0.576, 0.576, 0, 0, 0, 1, 0
0, 0.78, 0, 0, 0.78, 0, 0.1, 0.88, 0.1, 1, 1
0, 0, 0, 0.483, 0.483, 0.483, 0, 0, 0, 1, 0
0, 0, 0, 0.461, 0.461, 0.461, 0.72, 0.72, 0.72, 1, 0
0, 0, 0, 0.514, 0.514, 0.514, 0, 0, 0, 1, 0
0, 0.337, 0.801, 0.793, 1, 1, 0, 0.337, 0.801, 1, 1
0.671, 0, 0.593, 0.671, 0, 0.593, 0.671, 0, 0.593, 0, 1
0, 0, 0.319, 0, 0, 0.319, 0, 0, 0.319, 0, 1
0.448, 0.448, 0.448, 0, 0, 0, 0.688, 0.688, 0.688, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0.945, 1, 0.693, 0, 0.332, 1, 0.556, 0.889, 1, 1
1, 0.801, 1, 0.583, 0, 0.594, 0.583, 0, 0.594, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.673, 0.869, 1, 0.341, 0.537, 1, 0, 0.196, 0.686, 1, 1
0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.297, 0, 0.684, 0.297, 0, 0.684, 0.297, 0, 0.684, 0, 1
0, 0, 1, 0.462, 0.462, 1, 0.385, 0.385, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0.1, 0.1, 0.1, 0.391, 0.391, 0.391, 1, 0
0.652, 0.652, 0.652, 0.373, 0.373, 0.373, 0, 0, 0, 1, 0
0.674, 0, 0.824, 0.674, 0, 0.824, 0.674, 0, 0.824, 0, 1
1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1
0, 0.561, 0.25, 0, 0.561, 0.25, 0, 0.561, 0.25, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0.981, 1, 0.156, 0, 0.552, 1, 1, 1, 1, 1
0, 0.1, 0.23, 0, 0.1, 0.23, 0, 0.1, 0.23, 0, 1
0, 0.143, 0.795, 0.845, 0.988, 1, 0, 0.143, 0.795, 1, 1
0.263, 0, 0, 0.913, 0.65, 0.65, 0.263, 0, 0, 1, 1
0, 0, 0, 0, 0, 0, 0.1, 0.1, 0.1, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.609, 0.609, 0.609, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0.28, 0.28, 0.28, 0, 0, 0, 1, 0
1, 0.968, 0.968, 1, 0.557, 0.557, 0.687, 0, 0, 1, 1
0, 0.243, 0.348, 0, 0.243, 0.348, 0, 0.243, 0.348, 0, 1
0.445, 0, 0, 0.445, 0, 0, 0.445, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0.1, 0.1, 0.1, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0.25, 0, 0, 0.25, 0, 0, 0.25, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0.1, 1, 0, 0.1, 1, 0, 0.1, 0, 1
0.329, 0, 0, 0.329, 0, 0, 0.329, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0.289, 0.289, 0.289, 0.228, 0.228, 0.228, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0.831, 0.831, 0.831, 0, 0, 0, 1, 0
0, 1, 0.49, 0, 1, 0.49, 0, 1, 0.49, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0.32, 0.32, 0.32, 1, 0
0.67, 0.67, 0.67, 0, 0, 0, 0, 0, 0, 1, 0
0.695, 0.695, 0.695, 0, 0, 0, 0.431, 0.431, 0.431, 1, 0
0, 0.66, 0, 0, 0.66, 0, 0, 0.66, 0, 0, 1
0, 0, 0, 0, 0, 0, 0.353, 0.353, 0.353, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 0.697, 1, 1, 0.669, 0.583, 0.35, 0, 1, 1
0.441, 0.251, 0, 0.441, 0.251, 0, 0.441, 0.251, 0, 0, 1
0, 0, 0, 1, 1, 1, 0.758, 0.758, 0.758, 1, 0
0, 0, 0, 0, 0, 0, 0.665, 0.665, 0.665, 1, 0
0, 0, 0, 0.784, 0.784, 0.784, 1, 1, 1, 1, 0
0, 0, 0, 0.624, 0.624, 0.624, 0.543, 0.543, 0.543, 1, 0
0.632, 0.632, 0.632, 0, 0, 0, 0.1, 0.1, 0.1, 1, 0
0.1, 0.701, 0, 0.1, 0.701, 0, 0.1, 0.701, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.475, 0, 0.798, 0.475, 0, 0.798, 0.475, 0, 0.798, 0, 1
0, 0, 0.706, 0.104, 0.104, 0.81, 1, 1, 1, 1, 1
0.33, 0, 0.864, 0.33, 0, 0.864, 0.33, 0, 0.864, 0, 1
1, 0.525, 1, 0.621, 0, 0.578, 0.621, 0, 0.578, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0.458, 0, 0, 0.458, 0, 0, 0.458, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0.835, 0, 0, 0.835, 0, 0, 0.835, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.894, 0, 0, 0.894, 0, 0, 0.894, 0, 0, 0, 1
1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1
0, 0, 0, 0.1, 0.1, 0.1, 0.942, 0.942, 0.942, 1, 0
0.443, 0.859, 0.443, 0, 0.416, 0, 0, 0.416, 0, 1, 1
1, 0.646, 0.646, 0.624, 0, 0, 0.624, 0, 0, 1, 1
1, 0.61, 1, 0.593, 0, 0.591, 0.593, 0, 0.591, 1, 1
0, 0.68, 0.713, 0, 0.68, 0.713, 0, 0.68, 0.713, 0, 1
0.794, 0.1, 0, 0.794, 0.1, 0, 0.794, 0.1, 0, 0, 1
0.444, 0.458, 0, 0.444, 0.458, 0, 0.444, 0.458, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.703, 0, 0.661, 1, 0.62, 1, 0.803, 0.1, 0.761, 1, 1
0, 0.424, 0, 0.733, 1, 0.733, 0.1, 0.524, 0.1, 1, 1
0, 0, 0.4, 0, 0, 0.4, 0, 0, 0.4, 0, 1
0, 0, 0.554, 0, 0, 0.554, 0, 0, 0.554, 0, 1
0, 0, 0, 0.606, 0.606, 0.606, 0.538, 0.538, 0.538, 1, 0
0, 0, 0.519, 0, 0, 0.519, 0, 0, 0.519, 0, 1
0, 0, 0, 0.94, 0.94, 0.94, 0.323, 0.323, 0.323, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.401, 0, 0, 0.401, 0, 0, 0.401, 0, 0, 1
0, 0.1, 0, 0, 0.1, 0, 0, 0.1, 0, 0, 1
0, 0, 0, 0, 0, 0, 0.243, 0.243, 0.243, 1, 0
